00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
18430	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	I carried {{c1:: }} the heavy tray {{c1::carefully}}. (<i>carefully</i>)	choiceA;ChoiceB
18440	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	She took {{c1:: }} the money {{c1::gratefully}}. (<i>gratefully</i>)	choiceA;ChoiceB
18450	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	He played {{c1:: }} superbly {{c1::last night}}. (<i>last night</i>)	choiceA;ChoiceB
18460	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	She paced {{c1::angrily}} around the room for several minutes {{c1:: }}. (<i>angrily</i>)	choiceA;ChoiceB
18470	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	It was {{c1::here}} in the desert {{c1:: }} that he learned to paint. (<i>here</i>)	choiceA;ChoiceB
18480	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	The train is due {{c1:: }} to get in {{c1::at 3:15}}. (<i>at 3:15</i>)	choiceA;ChoiceB
18490	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	He {{c1::warmly}} welcomed all the guests who had travelled so far to get to the wedding {{c1:: }}. (<i>warmly</i>)	choiceA;ChoiceB
18500	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	I last saw him {{c1::this morning}} in that cybercafé between the bank and the library {{c1:: }}. (<i>this morning</i>)	choiceA;ChoiceB
18510	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	I try {{c1:: }} to go to the gym {{c1::three times a week}}. (<i>three times a week</i>)	choiceA;ChoiceB
18520	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	I opened the door of the cottage and {{c1:: }} stepped {{c1::inside}}. (<i>inside</i>)	choiceA;ChoiceB
18530	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	I {{c1::rarely}} have time to go to the cinema any more {{c1:: }}. (<i>rarely</i>)	choiceA;ChoiceB
18540	Unit 74: Position of adverbs 1	Complete the sentences. Type the word or phrase in brackets in the correct place.	He went {{c1:: }} to Berlin {{c1::yesterday}}. (<i>yesterday</i>)	choiceA;ChoiceB
18550	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	{{c1::Curiously, football is}} not in the top five most popular sports in the country.	Curiously, football is;Football is curiously
18560	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	{{c1::A police officer looked curiously}} at him as he walked past.	Curiously, a police officer looked;A police officer looked curiously
18570	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	Look at all the litter in the park. {{c1::Honestly, some people are}} so thoughtless.	Honestly, some people are;Some people are honestly
18580	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	{{c1::Helena tried to answer his questions honestly}}, but she had difficulty remembering much about the accident as it was such a long time ago.	Honestly, Helena tried to answer his questions;Helena tried to answer his questions honestly
18590	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	{{c1::Caffeine occurs naturally}} in more than 60 plants.	Naturally, caffeine occurs;Caffeine occurs naturally
18600	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	There's no need to be nervous at the interview. {{c1::Just act naturally}} and I'm sure you'll get the job.	Naturally, just act;Just act naturally
18610	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	The room had no pictures on the wall and {{c1::was plainly furnished}}.	plainly was furnished;was plainly furnished
18620	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	{{c1::Plainly, Karim wasn't interested}} in watching the tennis match. He just spent the time reading the newspaper or browsing the Internet on his mobile.	Plainly, Karim wasn't interested;Karim wasn’t interested plainly
18630	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	It is said that politicians are only interested in power. {{c1::Clearly, this is not the case}} for all politicians.	Clearly, this is not the case;This is not clearly the case
18640	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	The new road will be built through areas of natural beauty. {{c1::Clearly, some people will object}} to this.	Clearly, some people will object;Some people will object clearly
18650	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	{{c1::Frankly, I think his suggestion is}} totally ridiculous.	Frankly, I think his suggestion is;I think his suggestion is frankly
18660	Unit 75: Position of adverbs 2	Complete the sentences. Choose the correct or more natural word order.	{{c1::In her autobiography she writes frankly}} about her time as Ambassador to the United Nations.	Frankly, in her autobiography she writes;In her autobiography she writes frankly
18670	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	Black woodpeckers are seen in this part of the country {{c1::from time to time}} <u>seldom</u>. (<i>from time to time</i>)	choiceA;ChoiceB
18680	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	Before you start cooking, make sure you {{c1::thoroughly}} <u>thoroughly</u> wash your hands. (<i>well</i>)	choiceA;ChoiceB
18690	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	I enjoy reading her blog {{c1::enormously}} <u>quite</u>. (<i>enormously</i>)	choiceA;ChoiceB
18700	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	Kim {{c1::frequently}} <u>frequently</u> worked on several paintings at the same time. (<i>last year</i>)	choiceA;ChoiceB
18710	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	I have {{c1::always}} <u>greatly</u> suffered from back trouble, particularly during cold winters. (<i>always</i>)	choiceA;ChoiceB
18720	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	I agree with him {{c1::entirely}} <u>never</u>. (<i>entirely</i>)	choiceA;ChoiceB
18730	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	He could see the path {{c1::clearly}} <u>hardly</u> as the snow turned into rain. (<i>clearly</i>)	choiceA;ChoiceB
18740	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	I’ve been to Berlin {{c1::on many occasions}} <u>hardly ever</u>. (<i>on many occasions</i>)	choiceA;ChoiceB
18750	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	It pays to shop around for a new car as they can {{c1::often}} <u>enormously</u> differ in price. (<i>often</i>)	choiceA;ChoiceB
18760	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	They should have allowed the factory to be built {{c1::outside the city}} <u>outside the city</u>. (<i>never</i>)	choiceA;ChoiceB
18770	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	{{c1::As a rule}} <u>As a rule</u>, the smaller the town, the cheaper it is to park your car. (<i>almost</i>)	choiceA;ChoiceB
18780	Unit 75: Position of adverbs 2	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	As you are climbing, {{c1::every so often}} <u>regularly</u> you should stop to rest. (<i>every so often</i>)	choiceA;ChoiceB
18790	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	The athletes then entered the stadium. The Greek team came <u>first</u>. <br /><br /> The athletes then entered the stadium. {{c1::First came the Greek team.}}	choiceA;ChoiceB
18800	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	The painting was found to be a forgery <u>only later</u>.<br /><br /> {{c1::Only later was the painting found}} to be a forgery.	choiceA;ChoiceB
18810	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	She has <u>not once</u> ever offered to help with the cooking.<br /><br />{{c1::Not once has she ever offered}} to help with the cooking.	choiceA;ChoiceB
18820	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	I was told <u>at no time</u> that I might lose all the money I had invested. <br /><br />{{c1::At no time was I told}} that I might lose all the money I had invested.	choiceA;ChoiceB
18830	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	The new series on alternative energy begins with a programme on solar. Three programmes come <u>next</u> on wind, geothermal, and biofuels. <br /><br />The new series on alternative energy begins with a programme on solar. {{c1::Next come three programmes}} on wind, geothermal, and biofuels.	choiceA;ChoiceB
18840	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	Elections <u>seldom</u> produce such a surprising result as this. <br /><br />{{c1::Seldom do elections produce}} such a surprising result as this.	choiceA;ChoiceB
18850	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	I have <u>rarely</u> heard the flute played so well. <br /><br />{{c1::Rarely have I heard}} the flute played so well.	choiceA;ChoiceB
18860	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	I considered resigning <u>at no time</u>.<br /><br />{{c1::At no time did I consider}} resigning.	choiceA;ChoiceB
18870	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	The bird has <u>hardly ever</u> been seen in Europe before. <br /><br />{{c1::Hardly ever has the bird been seen}} in Europe before.	choiceA;ChoiceB
18880	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	He did <u>not</u> acknowledge my contribution to the research <u>once</u>. <br /><br />{{c1::Not once did he acknowledge}} my contribution to the research.	choiceA;ChoiceB
18890	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	He <u>hardly ever</u> calls me by my first name. <br /><br />{{c1::Hardly ever does he call me}} by my first name.	choiceA;ChoiceB
18900	Unit 76: Adverbs of place, indefinite frequency and time	Complete the second item of each pair so that it has a similar meaning to the first. Begin with the underlined word or phrase.	She had <u>seldom</u> regretted her lack of education. <br /><br />{{c1::Seldom had she regretted}} her lack of education.	choiceA;ChoiceB
18910	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> At lunchtime I generally go running in the park.<br /><b>b</b> I generally go running in the park at lunchtime.<p>{{c1::both are correct}}</p>	b is correct;both are correct
18920	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> Daily the museum is open.<br /><b>b</b> The museum is open daily.<p>{{c1::b is correct}}</p>	b is correct;both are correct
18930	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> Annually the Cannes Film Festival is held. <br /><b>b</b> The Cannes Film Festival is held annually.<p>{{c1::b is correct}}</p>	b is correct;both are correct
18940	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> Seven days a week he plays computer games.<br /><b>b</b> He plays computer games seven days a week.<p>{{c1::both are correct}}</p>	b is correct;both are correct
18950	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> On 15th July it's my brother's birthday. <br /><b>b</b> It's my brother's birthday on 15th July.<p>{{c1::both are correct}}</p>	b is correct;both are correct
18960	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> Weekly I phone my grandparents.<br /><b>b</b> I phone my grandparents weekly.<p>{{c1::b is correct}}</p>	b is correct;both are correct
18970	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> Hourly I have to take the medicine. <br /><b>b</b> I have to take the medicine hourly.<p>{{c1::b is correct}}</p>	b is correct;both are correct
18980	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> On Tuesday she starts her new job.<br /><b>b</b> She starts her new job on Tuesday.<p>{{c1::both are correct}}</p>	b is correct;both are correct
18990	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> Every hour another 10,000 babies are born.<br /><b>b</b> Another 10,000 babies are born every hour.<p>{{c1::both are correct}}</p>	b is correct;both are correct
19000	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> In January I'm going skiing again <br /><b>b</b> I'm going skiing again in January.<p>{{c1::both are correct}}</p>	b is correct;both are correct
19010	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> Fortnightly he had to see his doctor.<br /><b>b</b> He had to see his doctor fortnightly.<p>{{c1::b is correct}}</p>	b is correct;both are correct
19020	Unit 76: Adverbs of place, indefinite frequency and time	Which sentences are correct?	<b>a</b> Monthly she gets paid.<br /><b>b</b> She gets paid monthly.<p>{{c1::b is correct}}</p>	b is correct;both are correct
19030	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	It was {{c1::very}} <u>much</u> embarrassing to find that I had odd shoes on. (<i>very</i>)	choiceA;ChoiceB
19040	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	<b>A</b>: Do you think Stefan will really go through with his plan?<br /><b>B</b>: I {{c1::very much}} <u>very much</u> doubt it. (<i>much</i>)	choiceA;ChoiceB
19050	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	The cupboard was {{c1::too}} <u>very</u> big to fit through the door, so we had to take it apart first. (<i>too</i>)	choiceA;ChoiceB
19060	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	I {{c1::very much}} <u>very much</u> prefer books to e-readers. (<i>very</i>)	choiceA;ChoiceB
19070	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	It wasn't {{c1::too}} <u>much</u> warm yesterday, was it? (<i>too</i>)	choiceA;ChoiceB
19080	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	We all {{c1::very much}} <u>very</u> appreciate the effort you have put into organising the conference. (<i>very much</i>)	choiceA;ChoiceB
19090	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	I became {{c1::very much}} <u>much</u> interested in his work when I was living in Spain. (<i>very much</i>)	choiceA;ChoiceB
19100	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	Chinese porcelain has been {{c1::much}} <u>much</u> admired in Europe since the Middle Ages. (<i>very</i>)	choiceA;ChoiceB
19110	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	We {{c1::very much}} <u>much</u> hope that we can persuade you to take the job. (<i>very much</i>)	choiceA;ChoiceB
19120	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	I've got a meeting with my boss this afternoon, but I'm not {{c1::very much}} <u>very much</u> looking forward to it. (<i>very</i>)	choiceA;ChoiceB
19130	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	It's a {{c1::very}} <u>too</u> simple calculation, so you shouldn't have any problems with it. (<i>very</i>)	choiceA;ChoiceB
19140	Unit 77: Degree adverbs and focus adverbs	Are the underlined words or phrases correct? If not, correct them with the word or phrase in brackets.	I {{c1::very much}} <u>very much</u> regretted my decision to leave teaching. (<i>very</i>)	choiceA;ChoiceB
19150	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	My car was a real bargain. I {{c1::only}} paid £500 for it.	even;only
19160	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	I ached all over after running the marathon – {{c1::even}} my fingers hurt.	even;only
19170	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	Carmen was wearing very bright clothes, and {{c1::even}} her shoes were yellow.	even;only
19180	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	The turnout at the last election was disappointing, with {{c1::only}} 20% of the electorate bothering to vote.	even;only
19190	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	Gary hates walking and he {{c1::even}} drives down the road to buy a newspaper in the morning.	even;only
19200	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	Martina hated most vegetables when she was young. She would {{c1::only}} eat peas and carrots.	even;only
19210	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	Some have claimed that online gaming can negatively affect children's brain development, but {{c1::only}} more research will determine whether this is true.	even;only
19220	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	You can't use credit cards at the shop, and {{c1::only}} cash or debit cards are accepted.	even;only
19230	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	My father has lost a lot of weight recently, and {{c1::even}} his wrists are thin.	even;only
19240	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	I've tried everything to repair my printer. I've {{c1::even}} taken it apart and put it back together again, but it still doesn't work.	even;only
19250	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	Paul rarely comes to visit. We {{c1::only}} see him about once a year.	even;only
19260	Unit 77: Degree adverbs and focus adverbs	Complete the sentences with <i>even</i> or <i>only</i>.	Diego said he wanted to be a doctor {{c1::even}} before he started school.	even;only
19270	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	The strong wind knocked over the tree and it hit the car. There was no one in it, {{c1::luckily}}.	seriously;luckily;kindly
19280	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	All mobile phones made by the company in the last year have been recalled for safety checks. {{c1::Apparently}}, there's a danger they might catch fire.	Apparently;Generally;Carelessly
19290	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	When I got home I realised I didn't have my keys. {{c1::Stupidly}}, I'd left them inside on the kitchen table.	Generously;Stupidly;Seriously
19300	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	<b>A</b>: The company needs to save at least a million dollars in the next year. <br /><br /><b>B</b>: So that means jobs are going to be lost, {{c1::presumably}}?	certainly;wisely;presumably
19310	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	They were {{c1::definitely}} the best Greek olives I had ever tasted.	presumably;definitely;rightly
19320	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	<b>A</b>: What did you think of the film?<br /><b>B</b>: {{c1::Frankly}}, I was disappointed after such brilliant reviews.	Frankly;Certainly;Unbelievably
19330	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	Bill had a major heart attack. {{c1::Undoubtedly}}, he would have died if he hadn't got to the hospital so quickly.	Generally;Wrongly;Undoubtedly
19340	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	Carla knew that the suggestion was ridiculous, but {{c1::wisely}} she kept her thoughts to herself.	certainly;wisely;probably
19350	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	Olivia thought, {{c1::wrongly}}, that she didn't need a visa to get into the United States, so when she arrived at the airport they wouldn't let her in.	wrongly;definitely;frankly
19360	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	I'd like to go walking in the Alps but I'm just not fit enough, {{c1::sadly}}.	certainly;sadly;wisely
19370	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	{{c1::Generally}}, the most expensive time to fly in Europe is during the summer holiday season.	Generally;Seriously;Definitely
19380	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with the most appropriate comment adverb.	Even though the recording was made over 50 years ago, the quality of sound on the downloads is {{c1::surprisingly}} good.	presumably;rightly;surprisingly
19390	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	The Hubble telescope was, as far as astronomy is concerned, {{c1::the most important development of the last 50 years}}.	the most important development of the last 50 years;from an educational point of view
19400	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	The great value of the Internet, {{c1::from an educational point of view}}, is that it gives easy access to information.	the most important development of the last 50 years;from an educational point of view
19410	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	While the applications of the new process are ambitious, in technological terms, {{c1::it is very simple}}.	physically;as far as agriculture is concerned;there is little difference between their two leaders;by the new road;it is very simple
19420	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	Last year's hot summer was excellent for the tourist industry, but {{c1::as far as agriculture is concerned}} it was a disaster.	physically;as far as agriculture is concerned;there is little difference between their two leaders;by the new road;it is very simple
19430	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	She says she's feeling tired all the time, but {{c1::physically}} the doctors can't find anything wrong with her.	physically;as far as agriculture is concerned;there is little difference between their two leaders;by the new road;it is very simple
19440	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	The park has been badly damaged from an environmental point of view {{c1::by the new road}}.	physically;as far as agriculture is concerned;there is little difference between their two leaders;by the new road;it is very simple
19450	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	Even though the parties are seen as political opponents, ideologically, {{c1::there is little difference between their two leaders}}.	physically;as far as agriculture is concerned;there is little difference between their two leaders;by the new road;it is very simple
19460	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	In informal English we often use 'less' before plural nouns, but {{c1::grammatically speaking}} 'fewer' is correct.	in statistical terms;it is unlikely to be a success;from a historical point of view;grammatically speaking;it is very diverse
19470	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	The last ice age may have ended over 10,000 years ago, but {{c1::from a historical point of view}} it was a relatively recent event.	in statistical terms;it is unlikely to be a success;from a historical point of view;grammatically speaking;it is very diverse
19480	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	Over the last 100 years many immigrants have moved to the country so that today, culturally, {{c1::it is very diverse}}.	in statistical terms;it is unlikely to be a success;from a historical point of view;grammatically speaking;it is very diverse
19490	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	People often think that there is a connection between hair colour and eye colour but {{c1::in statistical terms}} there is no relationship between them.	in statistical terms;it is unlikely to be a success;from a historical point of view;grammatically speaking;it is very diverse
19500	Unit 78: Comment adverbs and viewpoint adverbs	Complete the sentences with a phrase from the box.	While the new app will attract a lot of media attention, commercially speaking, {{c1::it is unlikely to be a success}}.	in statistical terms;it is unlikely to be a success;from a historical point of view;grammatically speaking;it is very diverse
19510	What can I practise here?	Complete the sentences. Choose all possible correct answers.	{{c1::When / After}} I go swimming in the local pool, I always seem to come down with a cold.	As;When;After;While
19520	What can I practise here?	Complete the sentences. Choose all possible correct answers.	The recent success of the company is {{c1::due to / because of}} the efforts of our hard-working staff.	due to;owing to;because;because of
19530	What can I practise here?	Complete the sentences. Choose all possible correct answers.	We are moving to a house near the sea {{c1::in order that we can}} go sailing more often.	in order we could;in order that we can;in order we can;in order that we could
19540	What can I practise here?	Complete the sentences. Choose all possible correct answers.	{{c1::Complicated though the instructions were / Complicated as the instructions were}} , I managed to assemble the furniture in under an hour.	Complicated the instructions were, though;Complicated the instructions were;Complicated though the instructions were;Complicated as the instructions were
19550	What can I practise here?	Complete the sentences. Choose all possible correct answers.	{{c1::If you liked}} baseball, I'd take you to see a game while you're staying in America.	If you were to like;If you like;If you have liked;If you liked
19560	What can I practise here?	Complete the sentences. Choose all possible correct answers.	Professor Daniels says he welcomes feedback on his teaching, but {{c1::if we complained / were we to complain}} that his lectures are boring he would be very angry .	if we complained;we were to complain;were we to complain;if we to complain
19570	What can I practise here?	Complete the sentences. Choose all possible correct answers.	{{c1::Were it not / If it were not}} for the encouragement of my parents, I would never have gone to college.	Were it not;If it not were;Were not it;If it were not
19580	What can I practise here?	Complete the sentences. Choose all possible correct answers.	{{c1::Whether}} you enjoy the film version of <i>Lord of the Rings</i> depends a lot on {{c1::whether}} or not you have read the book.	Whether ... if;Whether ... whether;If ... whether;If ... if
19590	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I recognised her {{c1::as soon as}} she walked through the door.	since;as soon as;subsequently;afterwards
19600	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	{{c1::As}} <u>As</u> the grapes ripen, they turn from green to deep purple.	choiceA;ChoiceB
19610	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	My mother had to give up her job at the factory {{c1::when}} <u>while</u> she got married.	choiceA;ChoiceB
19620	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	{{c1::When}} <u>As</u> she was young she had long, curly hair, but now it's short and straight.	choiceA;ChoiceB
19630	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	I phoned for an ambulance {{c1::when}} <u>while</u> it became clear that Lora had injured herself seriously.	choiceA;ChoiceB
19640	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	Her English was so good, I was surprised {{c1::when}} <u>while</u> I found out she was Russian.	choiceA;ChoiceB
19650	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	We didn't see Nancy {{c1::while}} <u>while</u> she was away at college.	choiceA;ChoiceB
19660	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	I get a stomach ache {{c1::when}} <u>as</u> I drink milk.	choiceA;ChoiceB
19670	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	{{c1::While}} <u>While</u> the car park is being repaired, visitors will be asked to park in the nearby field.	choiceA;ChoiceB
19680	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	Ann was badly bruised {{c1::when}} <u>as</u> she was hit by the bike.	choiceA;ChoiceB
19690	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	I get a pain in my shoulder {{c1::when}} <u>while</u> I throw a ball.	choiceA;ChoiceB
19700	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	Most of my colleagues were still working {{c1::as}} <u>as</u> I left the office.	choiceA;ChoiceB
19710	Unit 79: Adverbial clauses of time	If the underlined word is incorrect, replace it with <i>when</i>.	I was in the middle of writing my report {{c1::when}} <u>as</u> the power went off.	choiceA;ChoiceB
19720	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	Your hands have got paint all over them! Make sure you wash them {{c1::before}} dinner.	before;after
19730	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	He didn't have to write any more assignments {{c1::until / before}} the exam.	until;before
